ID,adj.P.Val,P.Value,t,B,logFC,SPOT_ID
17231314,9.77E-28,2.36E-32,119.9937373,61.18951,7.37191828,chr1(-):195136811-195176715
17364565,1.23E-26,7.09E-31,102.697497,58.76208,6.36459783,chr19(-):40928927-40994535
17339772,1.23E-26,8.91E-31,101.6320178,58.59113,5.87595714,chr17(+):75435905-75529054
17540154,7.22E-26,6.99E-30,92.4860844,57.00145,6.74188308,chrX(-):9435252-9487771
17289527,9.94E-26,1.20E-29,90.2162775,56.56996,6.10609722,chr13(+):102693558-102739629
17288917,4.29E-25,6.23E-29,83.6694688,55.23179,5.71574611,chr13(+):83504034-83667079
17304906,1.20E-24,2.15E-28,79.0454864,54.19391,5.0575825,chr14(-):32959547-33185508
17286587,1.20E-24,2.32E-28,78.7728921,54.13011,7.01889058,chr13(+):37345345-37419036
17449989,1.39E-24,3.02E-28,77.824266,53.9057,4.94209153,chr5(-):99217420-99252927
17314260,1.54E-24,3.72E-28,77.0870719,53.72871,5.6255715,chr15(+):91673175-91816124
17336509,1.66E-24,4.70E-28,76.2664146,53.52897,4.85373256,chr17(+):34325665-34341410
17544491,1.66E-24,4.81E-28,76.1872008,53.50954,5.11416181,chrX(-):134542336-134583570
17364280,2.12E-24,6.67E-28,75.0527064,53.22818,4.16783433,chr19(-):37899036-38043577
17299585,2.13E-24,7.32E-28,74.7318551,53.14756,5.53046986,chr14(+):51129068-51131122
17219789,2.13E-24,7.72E-28,74.5504828,53.10179,4.77069094,chr1(+):175631996-175662116
17229596,2.93E-24,1.13E-27,73.2518194,52.76964,5.83635697,chr1(-):170917576-170927583
17424884,3.77E-24,1.55E-27,72.209655,52.49738,5.48148892,chr4(-):44531145-44711446
17362922,3.87E-24,1.75E-27,71.8076567,52.39097,6.76047592,chr19(-):11250164-11266179
17307623,3.87E-24,1.78E-27,71.7510633,52.37593,5.6861175,chr14(-):63372837-63417187
17248691,8.00E-24,3.87E-27,69.2394032,51.69221,6.11062622,chr11(+):44617317-45008091
17370527,1.09E-23,5.54E-27,68.1056642,51.37294,4.27197647,chr2(+):43555329-43682715
17362765,1.84E-23,9.79E-27,-66.3516974,50.86529,-2.53284894,chr19(-):10789339-10830058
17496193,2.45E-23,1.36E-26,65.3523783,50.56834,6.40753361,chr7(-):126408448-126414870
17471541,4.38E-23,2.54E-26,63.5095722,50.00539,5.79407347,chr6(-):129461591-129472777
17379659,6.59E-23,3.99E-26,62.2096835,49.59582,3.86825678,chr2(+):165055627-165072948
17475127,8.00E-23,5.03E-26,61.5482358,49.38331,5.96861097,chr7(+):24897381-24902197
17357810,8.92E-23,5.83E-26,61.1338546,49.24872,6.30338667,chr19(+):12460779-12465285
17520233,9.75E-23,6.60E-26,60.784707,49.13445,5.58204897,chr9(+):90054152-90076095
17537199,1.03E-22,7.20E-26,60.5409269,49.05418,4.70958825,chrX(+):109196711-109200445
17494370,1.61E-22,1.17E-25,59.2153275,48.61065,5.63146164,chr7(-):104355398-104369782
17503094,2.19E-22,1.64E-25,-58.2880243,48.29311,-4.71600686,chr8(+):84125989-84132527
17402305,2.22E-22,1.72E-25,58.1749408,48.25397,4.61767894,chr3(+):122419780-122530183
17445715,2.68E-22,2.14E-25,57.584181,48.04797,3.90166175,chr5(-):17781690-17888959
17365098,2.73E-22,2.25E-25,57.4591782,48.00405,6.50738775,chr19(-):44394450-44407709
17229187,4.43E-22,3.75E-25,56.1183863,47.52563,6.60530781,chr1(-):164931644-164935527
17318020,4.46E-22,3.88E-25,56.0321876,47.49441,6.96610178,chr15(-):74762056-74763567
17462738,4.75E-22,4.25E-25,55.7995771,47.40986,4.508049,chr6(+):122952515-122969878
17322842,5.98E-22,5.50E-25,55.1420097,47.16854,4.73296339,chr16(+):10480072-10527564
17292915,6.19E-22,5.84E-25,54.9898594,47.11222,4.57656742,chr13(-):55523235-55528538
17247852,6.91E-22,6.68E-25,54.649041,46.98537,5.38371903,chr11(+):24078056-24174123
17290894,7.41E-22,7.40E-25,54.3942407,46.88992,5.3128745,chr13(-):19749682-19824257
17521171,7.41E-22,7.53E-25,54.3506849,46.87356,5.14973739,chr9(+):106222598-106226876
17287381,7.46E-22,7.76E-25,54.2746785,46.84495,4.15433561,chr13(+):52583173-52648792
17336491,7.46E-22,7.94E-25,54.2173653,46.82336,4.88171878,chr17(+):34249057-34250264
17353619,8.72E-22,9.49E-25,53.7746401,46.6556,4.18462736,chr18(-):35647265-35649367
17219199,9.26E-22,1.03E-24,53.5717414,46.57817,5.18906483,chr1(+):171018920-171029761
17299101,1.20E-21,1.37E-24,52.8774774,46.3106,5.04395972,chr14(+):44102654-44103534
17216976,1.37E-21,1.59E-24,52.5136857,46.16873,6.64321422,chr1(+):130865669-130880790
17507131,1.66E-21,1.97E-24,51.9973267,45.96539,4.98849039,chr8(-):3681737-3694174
17495839,1.76E-21,2.17E-24,51.7709646,45.8755,5.593856,chr7(-):121064067-121074530
17424880,1.76E-21,2.18E-24,51.7586611,45.8706,6.23266508,chr4(-):44524748-44529159
17398755,1.87E-21,2.36E-24,51.5696941,45.79518,5.04365239,chr3(+):87435782-87500678
17537081,2.11E-21,2.71E-24,51.2405637,45.66306,4.34886283,chrX(+):106143229-106160493
17546109,2.62E-21,3.43E-24,50.6870487,45.43863,5.14602931,chrX(-):167304929-167330558
17287827,2.63E-21,3.50E-24,50.6369622,45.41818,4.30014067,chr13(+):56609559-56639562
17329023,2.65E-21,3.62E-24,50.562482,45.38773,6.96622922,chr16(-):19260401-19260844
17459309,2.65E-21,3.65E-24,50.5410498,45.37896,7.97651136,chr6(+):67896177-67896642
17459347,3.15E-21,4.41E-24,50.1006672,45.19775,6.39697914,chr6(+):68437468-68437925
17270837,3.58E-21,5.11E-24,49.7627386,45.05745,5.99966967,chr11(-):106311341-106314762
17253810,4.34E-21,6.29E-24,-49.2892357,44.859,-3.29770897,chr11(+):79591212-79698023
17490274,4.53E-21,6.69E-24,49.149908,44.80019,5.85431483,chr7(-):44525995-44532071
17472114,5.20E-21,7.80E-24,48.8031482,44.65298,5.21103169,chr6(-):136612070-136661928
17467427,5.45E-21,8.31E-24,48.6608072,44.59221,4.279095,chr6(-):69197585-69198116
17473300,6.17E-21,9.55E-24,48.3501685,44.45887,4.98987364,chr7(+):4337724-4345164
17402155,8.12E-21,1.28E-23,47.7083974,44.18026,4.88309658,chr3(+):121426541-121458205
17517215,9.29E-21,1.48E-23,47.3794014,44.03578,4.68134808,chr9(+):51280295-51280920
17467483,1.11E-20,1.80E-23,46.9581607,43.84912,4.41510186,chr6(-):69775750-69776306
17509101,1.33E-20,2.18E-23,46.5420224,43.66284,3.60944506,chr8(-):45395665-45410608
17404209,1.52E-20,2.54E-23,46.2178682,43.51643,4.25877675,chr3(-):15495754-15575065
17232394,1.54E-20,2.61E-23,-46.1578091,43.48917,-2.60418519,chr10(+):28668360-28883815
17467525,1.54E-20,2.65E-23,46.1293567,43.47625,5.70169797,chr6(-):70143593-70143897
17535681,1.87E-20,3.28E-23,45.6775915,43.2698,3.66152092,chrX(+):73774405-73778925
17284660,1.87E-20,3.30E-23,45.6651856,43.2641,6.36747617,chr12(-):115952538-115952831
17284505,1.92E-20,3.44E-23,45.5754804,43.22282,6.02440278,chr12(-):114523441-114523887
17487952,2.03E-20,3.68E-23,45.4360711,43.15849,4.43657406,chr7(-):25461702-25477625
17411527,2.32E-20,4.26E-23,45.130219,43.01657,4.73143975,chr4(+):3678102-3813122
17284571,2.88E-20,5.41E-23,44.6347353,42.78436,4.51344825,chr12(-):115119748-115120180
17473061,2.88E-20,5.44E-23,44.6222318,42.77847,3.78304194,chr6(-):148988069-149101680
17391565,3.00E-20,5.74E-23,44.511034,42.72594,6.22127519,chr2(-):129364570-129371139
17459321,3.10E-20,6.00E-23,44.4202595,42.68295,5.86925028,chr6(+):68049983-68050456
17284548,3.37E-20,6.59E-23,44.2272279,42.59121,5.84710047,chr12(-):114851190-114851623
17470960,3.89E-20,7.72E-23,-43.9078905,42.43846,-2.88691547,chr6(-):124864692-124888221
17459338,4.05E-20,8.14E-23,43.8001146,42.38663,8.35378328,chr6(+):68270527-68271267
17404200,4.09E-20,8.30E-23,43.7598066,42.3672,2.82850483,chr3(-):15371656-15426520
17377870,4.66E-20,9.58E-23,43.4711981,42.22756,5.42994008,chr2(+):153108468-153151441
17284607,5.47E-20,1.15E-22,43.1056033,42.04918,5.62278389,chr12(-):115446409-115446710
17284631,5.47E-20,1.15E-22,43.1056033,42.04918,5.62278389,chr12(-):115742205-115742506
17411545,5.95E-20,1.27E-22,42.9150659,41.95555,5.82158869,chr4(+):3714964-3716813
17474974,6.02E-20,1.30E-22,42.8672061,41.93196,5.30322928,chr7(+):24462500-24475873
17336422,6.06E-20,1.32E-22,42.8322816,41.91472,3.55036039,chr17(+):34153072-34160229
17336502,6.24E-20,1.37E-22,42.7539958,41.87604,5.89843528,chr17(+):34305867-34316674
17318013,6.29E-20,1.40E-22,42.7165742,41.85751,3.06358939,chr15(-):74747856-74752979
17329009,6.69E-20,1.50E-22,42.5744496,41.78701,6.71115731,chr16(-):19065234-19067173
17284562,7.37E-20,1.68E-22,42.362294,41.68129,5.32737942,chr12(-):114945950-114946243
17219382,9.01E-20,2.07E-22,41.9499162,41.4741,4.42567339,chr1(+):171559193-171585318
17296294,1.04E-19,2.42E-22,-41.6476944,41.32083,-4.80792717,chr13(-):113171608-113225908
17356002,1.05E-19,2.49E-22,41.5953208,41.29415,3.39761242,chr19(+):3935186-3949340
17284557,1.05E-19,2.49E-22,41.5912132,41.29205,5.33776756,chr12(-):114914599-114915032
17284396,1.26E-19,3.02E-22,41.2271414,41.10551,4.66416544,chr12(-):113685482-113685915
17230111,1.37E-19,3.31E-22,41.0514394,41.01484,5.55062128,chr1(-):174011998-174031755
17284435,1.77E-19,4.33E-22,40.5437267,40.75042,7.10758161,chr12(-):113948282-113948732
17452054,1.83E-19,4.52E-22,40.4634192,40.70827,3.878937,chr5(-):120730333-120749853
17229658,1.87E-19,4.66E-22,40.4058484,40.67799,5.32246069,chr1(-):171229572-171234365
17494386,1.93E-19,4.84E-22,40.3334316,40.63984,4.54404889,chr7(-):104382065-104400837
17467489,2.00E-19,5.10E-22,40.238007,40.58946,5.1165825,chr6(-):69823355-69823911
17467435,2.00E-19,5.14E-22,40.2238538,40.58198,5.76080331,chr6(-):69267888-69268412
17357514,2.32E-19,6.00E-22,39.9370139,40.42968,2.34103467,chr19(+):10577454-10595268
17410581,2.86E-19,7.47E-22,39.5324244,40.21283,6.00121075,chr3(-):136053363-136326066
